id,route_name,route_link,busname,bustype,departing_time,duration,reaching_time,star_rating,price,seats_available
125,Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,KSRTC (Kerala) - 55,SWIFT-GARUDA A/C SEATER BUS,2024-09-12 12:02:00,05h 03m,2024-09-12 17:05:00,3.5,391.0,6
127,Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,KSRTC (Kerala) - 805,Super Fast Non AC Seater (2+3),2024-09-12 13:32:00,05h 10m,2024-09-12 18:42:00,4.2,285.0,50
128,Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,KSRTC (Kerala) - 897,Super Fast Non AC Seater (2+3),2024-09-12 15:01:00,06h 29m,2024-09-12 21:30:00,3.6,273.0,39
129,Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,KSRTC (Kerala) - 708,Super Fast Non AC Seater (2+3),2024-09-12 16:01:00,06h 24m,2024-09-12 22:25:00,4.1,285.0,31
131,Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,KSRTC (Kerala) - 578,Super Express Non AC Seater Air Bus (2+2),2024-09-12 18:00:00,07h 20m,2024-09-13 01:20:00,3.8,350.0,26
132,Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,KSRTC (Kerala) - 72,SWIFT-GARUDA A/C SEATER BUS,2024-09-12 19:00:00,05h 30m,2024-09-13 00:30:00,2.0,452.0,5
133,Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,KSRTC (Kerala) - 1583,Super Express Non AC Seater Air Bus (2+2),2024-09-12 20:02:00,05h 59m,2024-09-13 02:01:00,3.8,419.0,6
134,Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,KSRTC (Kerala) - 1584,Super Express Non AC Seater Air Bus (2+2),2024-09-12 21:29:00,06h 04m,2024-09-13 03:33:00,3.8,419.0,5
136,Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,KSRTC (Kerala) - 549,Super Express Non AC Seater Air Bus (2+2),2024-09-12 22:15:00,05h 40m,2024-09-13 03:55:00,3.8,419.0,4
137,Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,KSRTC (Kerala) - 719,Super Fast Non AC Seater (2+3),2024-09-12 23:00:00,06h 40m,2024-09-13 05:40:00,3.2,319.0,29
138,Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,KSRTC (Kerala) - 96,Swift Deluxe Non AC Air Bus (2+2),2024-09-12 23:05:00,05h 05m,2024-09-13 04:10:00,3.8,356.0,1
139,Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,KSRTC (Kerala) - 170,Swift Deluxe Non AC Air Bus (2+2),2024-09-12 23:50:00,04h 30m,2024-09-13 04:20:00,2.6,356.0,1
140,Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,CHANCHALAS TOURS AND TRAVELS,A/C Semi Sleeper (2+2),2024-09-12 06:15:00,05h 40m,2024-09-12 11:55:00,4.2,599.0,37
141,Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,DA Transports,NON A/C Sleeper (2+1),2024-09-12 09:10:00,06h 40m,2024-09-12 15:50:00,3.8,499.0,26
144,Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,Suraj Holidays,NON AC Seater / Sleeper 2+1,2024-09-12 21:00:00,06h 00m,2024-09-13 03:00:00,3.9,800.0,21
145,Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,A1 Travels,Non A/C Seater / Sleeper (2+1),2024-09-12 21:30:00,06h 30m,2024-09-13 04:00:00,3.2,600.0,12
146,Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,J J YATRA,A/C Sleeper (2+1),2024-09-12 13:30:00,06h 15m,2024-09-12 19:45:00,0.0,565.0,36
147,Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,LIYAS TOURS,Bharat Benz A/C Sleeper (2+1),2024-09-12 03:40:00,04h 20m,2024-09-12 08:00:00,3.6,1649.0,18
148,Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,Orange Tours And Travels,Bharat Benz A/C Sleeper (2+1),2024-09-12 14:00:00,06h 30m,2024-09-12 20:30:00,3.3,1200.0,23
149,Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,Bharathi Travels,A/C Sleeper (2+1),2024-09-12 15:00:00,06h 00m,2024-09-12 21:00:00,3.1,1290.0,13
150,Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,A1 Travels,A/C Seater / Sleeper (2+1),2024-09-12 20:00:00,08h 00m,2024-09-13 04:00:00,3.2,1000.0,27
151,Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,MMK Travels,A/C Sleeper (2+1),2024-09-12 20:30:00,06h 30m,2024-09-13 03:00:00,4.2,1100.0,11
152,Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,National travels and logistics,NON A/C Sleeper (2+1),2024-09-12 20:45:00,07h 15m,2024-09-13 04:00:00,3.8,999.0,4
153,Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,National travels and logistics,A/C Sleeper (2+1),2024-09-12 21:00:00,06h 15m,2024-09-13 03:15:00,3.8,1050.0,13
154,Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,SKS Tours & Travels,A/C Sleeper (2+1),2024-09-12 21:00:00,07h 00m,2024-09-13 04:00:00,4.1,899.0,17
155,Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,NS Transports,VE A/C Sleeper (2+1),2024-09-12 21:15:00,06h 15m,2024-09-13 03:30:00,4.2,999.0,17
156,Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,SKS Tourist Corporation (REGD),A/C Sleeper (2+1),2024-09-12 21:30:00,07h 15m,2024-09-13 04:45:00,3.6,999.0,34
157,Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,DA Transports,A/C Sleeper (2+1),2024-09-12 21:50:00,06h 40m,2024-09-13 04:30:00,3.8,899.0,24
